date,n,k,state,dist_weather,dist_atmospheric
2024-05-20,8,4,00000000,0.0,0.0
2024-05-20,8,4,00000001,0.1,0.3
2024-05-20,8,4,00000010,0.2,0.6
2024-05-20,8,4,00000100,0.3,0.9
2024-05-20,8,4,00001000,0.4,0.2
2024-05-20,8,4,00010000,0.5,0.5
2024-05-20,8,4,00100000,0.6,0.8
2024-05-20,8,4,01000000,0.7,0.1
2024-05-20,8,4,10000000,0.8,0.4
2024-05-20,8,4,00000002,0.9,0.7
2024-05-20,8,4,00000020,0.0,0.0
2024-05-20,8,4,00000200,0.1,0.3
2024-05-20,8,4,00002000,0.2,0.6
2024-05-20,8,4,00020000,0.3,0.9
2024-05-20,8,4,00200000,0.4,0.2
2024-05-20,8,4,02000000,0.5,0.5
2024-05-20,8,4,20000000,0.6,0.8
2024-05-20,8,4,00000003,0.7,0.1
2024-05-20,8,4,00000030,0.8,0.4
2024-05-20,8,4,00000300,0.9,0.7
2024-05-20,8,4,00003000,0.0,0.0
2024-05-20,8,4,00030000,0.1,0.3
2024-05-20,8,4,00300000,0.2,0.6
2024-05-20,8,4,03000000,0.3,0.9
2024-05-20,8,4,30000001,0.4,0.2
2024-05-20,8,4,00000011,0.5,0.5
2024-05-20,8,4,00000110,0.6,0.8
2024-05-20,8,4,00001100,0.7,0.1
2024-05-20,8,4,00011000,0.8,0.4
2024-05-20,8,4,00110000,0.9,0.7
2024-05-20,8,4,01100000,0.0,0.0
2024-05-20,8,4,11000000,0.1,0.3
2024-05-20,8,4,10000001,0.2,0.6
2024-05-20,8,4,00000012,0.3,0.9
2024-05-20,8,4,00000120,0.4,0.2
2024-05-20,8,4,00001200,0.5,0.5
2024-05-20,8,4,00012000,0.6,0.8
2024-05-20,8,4,00120000,0.7,0.1
2024-05-20,8,4,01200000,0.8,0.4
2024-05-20,8,4,12000000,0.9,0.7
2024-05-20,8,4,20000001,0.0,0.0
2024-05-20,8,4,00000013,0.1,0.3
2024-05-20,8,4,00000130,0.2,0.6
2024-05-20,8,4,00001300,0.3,0.9
2024-05-20,8,4,00013000,0.4,0.2
2024-05-20,8,4,00130000,0.5,0.5
2024-05-20,8,4,01300000,0.6,0.8
2024-05-20,8,4,13000000,0.7,0.1
2024-05-20,8,4,30000002,0.8,0.4
2024-05-20,8,4,00000021,0.9,0.7
2024-05-20,8,4,00000210,0.0,0.0
2024-05-20,8,4,00002100,0.1,0.3
2024-05-20,8,4,00021000,0.2,0.6
2024-05-20,8,4,00210000,0.3,0.9
2024-05-20,8,4,02100000,0.4,0.2
2024-05-20,8,4,21000000,0.5,0.5
2024-05-20,8,4,10000002,0.6,0.8
2024-05-20,8,4,00000022,0.7,0.1
2024-05-20,8,4,00000220,0.8,0.4
2024-05-20,8,4,00002200,0.9,0.7
2024-05-20,8,4,00022000,0.0,0.0
2024-05-20,8,4,00220000,0.1,0.3
2024-05-20,8,4,02200000,0.2,0.6
2024-05-20,8,4,22000000,0.3,0.9
2024-05-20,8,4,20000002,0.4,0.2
2024-05-20,8,4,00000023,0.5,0.5
2024-05-20,8,4,00000230,0.6,0.8
2024-05-20,8,4,00002300,0.7,0.1
2024-05-20,8,4,00023000,0.8,0.4
2024-05-20,8,4,00230000,0.9,0.7
2024-05-20,8,4,02300000,0.0,0.0
2024-05-20,8,4,23000000,0.1,0.3
2024-05-20,8,4,30000003,0.2,0.6
2024-05-20,8,4,00000031,0.3,0.9
2024-05-20,8,4,00000310,0.4,0.2
2024-05-20,8,4,00003100,0.5,0.5
2024-05-20,8,4,00031000,0.6,0.8
2024-05-20,8,4,00310000,0.7,0.1
2024-05-20,8,4,03100000,0.8,0.4
2024-05-20,8,4,31000000,0.9,0.7
2024-05-20,8,4,10000003,0.0,0.0
2024-05-20,8,4,00000032,0.1,0.3
2024-05-20,8,4,00000320,0.2,0.6
2024-05-20,8,4,00003200,0.3,0.9
2024-05-20,8,4,00032000,0.4,0.2
2024-05-20,8,4,00320000,0.5,0.5
2024-05-20,8,4,03200000,0.6,0.8
2024-05-20,8,4,32000000,0.7,0.1
2024-05-20,8,4,20000003,0.8,0.4
2024-05-20,8,4,00000033,0.9,0.7
2024-05-20,8,4,00000330,0.0,0.0
2024-05-20,8,4,00003300,0.1,0.3
2024-05-20,8,4,00033000,0.2,0.6
2024-05-20,8,4,00330000,0.3,0.9
2024-05-20,8,4,03300000,0.4,0.2
2024-05-20,8,4,33000001,0.5,0.5
2024-05-20,8,4,30000010,0.6,0.8
2024-05-20,8,4,00000101,0.7,0.1
2024-05-20,8,4,00001010,0.8,0.4
2024-05-20,8,4,00010100,0.9,0.7
2024-05-20,8,4,00101000,0.0,0.0
2024-05-20,8,4,01010000,0.1,0.3
2024-05-20,8,4,10100000,0.2,0.6
2024-05-20,8,4,01000001,0.3,0.9
2024-05-20,8,4,10000010,0.4,0.2
2024-05-20,8,4,00000102,0.5,0.5
2024-05-20,8,4,00001020,0.6,0.8
2024-05-20,8,4,00010200,0.7,0.1
2024-05-20,8,4,00102000,0.8,0.4
2024-05-20,8,4,01020000,0.9,0.7
2024-05-20,8,4,10200000,0.0,0.0
2024-05-20,8,4,02000001,0.1,0.3
2024-05-20,8,4,20000010,0.2,0.6
2024-05-20,8,4,00000103,0.3,0.9
2024-05-20,8,4,00001030,0.4,0.2
2024-05-20,8,4,00010300,0.5,0.5
2024-05-20,8,4,00103000,0.6,0.8
2024-05-20,8,4,01030000,0.7,0.1
2024-05-20,8,4,10300000,0.8,0.4
2024-05-20,8,4,03000001,0.9,0.7
2024-05-20,8,4,30000011,0.0,0.0
2024-05-20,8,4,00000111,0.1,0.3
2024-05-20,8,4,00001110,0.2,0.6
2024-05-20,8,4,00011100,0.3,0.9
2024-05-20,8,4,00111000,0.4,0.2
2024-05-20,8,4,01110000,0.5,0.5
2024-05-20,8,4,11100000,0.6,0.8
2024-05-20,8,4,11000001,0.7,0.1
2024-05-20,8,4,10000011,0.8,0.4
2024-05-20,8,4,00000112,0.9,0.7
2024-05-20,8,4,00001120,0.0,0.0
2024-05-20,8,4,00011200,0.1,0.3
2024-05-20,8,4,00112000,0.2,0.6
2024-05-20,8,4,01120000,0.3,0.9
2024-05-20,8,4,11200000,0.4,0.2
2024-05-20,8,4,12000001,0.5,0.5
2024-05-20,8,4,20000011,0.6,0.8
2024-05-20,8,4,00000113,0.7,0.1
2024-05-20,8,4,00001130,0.8,0.4
2024-05-20,8,4,00011300,0.9,0.7
2024-05-20,8,4,00113000,0.0,0.0
2024-05-20,8,4,01130000,0.1,0.3
2024-05-20,8,4,11300000,0.2,0.6
2024-05-20,8,4,13000001,0.3,0.9
2024-05-20,8,4,30000012,0.4,0.2
2024-05-20,8,4,00000121,0.5,0.5
2024-05-20,8,4,00001210,0.6,0.8
2024-05-20,8,4,00012100,0.7,0.1
2024-05-20,8,4,00121000,0.8,0.4
2024-05-20,8,4,01210000,0.9,0.7
2024-05-20,8,4,12100000,0.0,0.0
2024-05-20,8,4,21000001,0.1,0.3
2024-05-20,8,4,10000012,0.2,0.6
2024-05-20,8,4,00000122,0.3,0.9
2024-05-20,8,4,00001220,0.4,0.2
2024-05-20,8,4,00012200,0.5,0.5
2024-05-20,8,4,00122000,0.6,0.8
2024-05-20,8,4,01220000,0.7,0.1
2024-05-20,8,4,12200000,0.8,0.4
2024-05-20,8,4,22000001,0.9,0.7
2024-05-20,8,4,20000012,0.0,0.0
2024-05-20,8,4,00000123,0.1,0.3
2024-05-20,8,4,00001230,0.2,0.6
2024-05-20,8,4,00012300,0.3,0.9
2024-05-20,8,4,00123000,0.4,0.2
2024-05-20,8,4,01230000,0.5,0.5
2024-05-20,8,4,12300000,0.6,0.8
2024-05-20,8,4,23000001,0.7,0.1
2024-05-20,8,4,30000013,0.8,0.4
2024-05-20,8,4,00000131,0.9,0.7
2024-05-20,8,4,00001310,0.0,0.0
2024-05-20,8,4,00013100,0.1,0.3
2024-05-20,8,4,00131000,0.2,0.6
2024-05-20,8,4,01310000,0.3,0.9
2024-05-20,8,4,13100000,0.4,0.2
2024-05-20,8,4,31000001,0.5,0.5
2024-05-20,8,4,10000013,0.6,0.8
2024-05-20,8,4,00000132,0.7,0.1
2024-05-20,8,4,00001320,0.8,0.4
2024-05-20,8,4,00013200,0.9,0.7
2024-05-20,8,4,00132000,0.0,0.0
2024-05-20,8,4,01320000,0.1,0.3
2024-05-20,8,4,13200000,0.2,0.6
2024-05-20,8,4,32000001,0.3,0.9
2024-05-20,8,4,20000013,0.4,0.2
2024-05-20,8,4,00000133,0.5,0.5
2024-05-20,8,4,00001330,0.6,0.8
2024-05-20,8,4,00013300,0.7,0.1
2024-05-20,8,4,00133000,0.8,0.4
2024-05-20,8,4,01330000,0.9,0.7
2024-05-20,8,4,13300000,0.0,0.0
2024-05-20,8,4,33000002,0.1,0.3
2024-05-20,8,4,30000020,0.2,0.6
2024-05-20,8,4,00000201,0.3,0.9
2024-05-20,8,4,00002010,0.4,0.2
2024-05-20,8,4,00020100,0.5,0.5
2024-05-20,8,4,00201000,0.6,0.8
2024-05-20,8,4,02010000,0.7,0.1
2024-05-20,8,4,20100000,0.8,0.4
2024-05-20,8,4,01000002,0.9,0.7
2024-05-20,8,4,10000020,0.0,0.0
2024-05-20,8,4,00000202,0.1,0.3
2024-05-20,8,4,00002020,0.2,0.6
2024-05-20,8,4,00020200,0.3,0.9
