date,n,k,state,dist_weather,dist_atmospheric
2024-05-20,8,2,00000000,0.0,0.0
2024-05-20,8,2,00000001,0.1,0.3
2024-05-20,8,2,00000010,0.2,0.6
2024-05-20,8,2,00000100,0.3,0.9
2024-05-20,8,2,00001000,0.4,0.2
2024-05-20,8,2,00010000,0.5,0.5
2024-05-20,8,2,00100000,0.6,0.8
2024-05-20,8,2,01000000,0.7,0.1
2024-05-20,8,2,10000001,0.8,0.4
2024-05-20,8,2,00000011,0.9,0.7
2024-05-20,8,2,00000110,0.0,0.0
2024-05-20,8,2,00001100,0.1,0.3
2024-05-20,8,2,00011000,0.2,0.6
2024-05-20,8,2,00110000,0.3,0.9
2024-05-20,8,2,01100000,0.4,0.2
2024-05-20,8,2,11000001,0.5,0.5
2024-05-20,8,2,10000010,0.6,0.8
2024-05-20,8,2,00000101,0.7,0.1
2024-05-20,8,2,00001010,0.8,0.4
2024-05-20,8,2,00010100,0.9,0.7
2024-05-20,8,2,00101000,0.0,0.0
2024-05-20,8,2,01010000,0.1,0.3
2024-05-20,8,2,10100000,0.2,0.6
2024-05-20,8,2,01000001,0.3,0.9
2024-05-20,8,2,10000011,0.4,0.2
2024-05-20,8,2,00000111,0.5,0.5
2024-05-20,8,2,00001110,0.6,0.8
2024-05-20,8,2,00011100,0.7,0.1
2024-05-20,8,2,00111000,0.8,0.4
2024-05-20,8,2,01110000,0.9,0.7
2024-05-20,8,2,11100001,0.0,0.0
2024-05-20,8,2,11000010,0.1,0.3
2024-05-20,8,2,10000100,0.2,0.6
2024-05-20,8,2,00001001,0.3,0.9
2024-05-20,8,2,00010010,0.4,0.2
2024-05-20,8,2,00100100,0.5,0.5
2024-05-20,8,2,01001000,0.6,0.8
2024-05-20,8,2,10010000,0.7,0.1
2024-05-20,8,2,00100001,0.8,0.4
2024-05-20,8,2,01000010,0.9,0.7
2024-05-20,8,2,10000101,0.0,0.0
2024-05-20,8,2,00001011,0.1,0.3
2024-05-20,8,2,00010110,0.2,0.6
2024-05-20,8,2,00101100,0.3,0.9
2024-05-20,8,2,01011000,0.4,0.2
2024-05-20,8,2,10110000,0.5,0.5
2024-05-20,8,2,01100001,0.6,0.8
2024-05-20,8,2,11000011,0.7,0.1
2024-05-20,8,2,10000110,0.8,0.4
2024-05-20,8,2,00001101,0.9,0.7
2024-05-20,8,2,00011010,0.0,0.0
2024-05-20,8,2,00110100,0.1,0.3
2024-05-20,8,2,01101000,0.2,0.6
2024-05-20,8,2,11010000,0.3,0.9
2024-05-20,8,2,10100001,0.4,0.2
2024-05-20,8,2,01000011,0.5,0.5
2024-05-20,8,2,10000111,0.6,0.8
2024-05-20,8,2,00001111,0.7,0.1
2024-05-20,8,2,00011110,0.8,0.4
2024-05-20,8,2,00111100,0.9,0.7
2024-05-20,8,2,01111000,0.0,0.0
2024-05-20,8,2,11110001,0.1,0.3
2024-05-20,8,2,11100010,0.2,0.6
2024-05-20,8,2,11000100,0.3,0.9
2024-05-20,8,2,10001000,0.4,0.2
2024-05-20,8,2,00010001,0.5,0.5
2024-05-20,8,2,00100010,0.6,0.8
2024-05-20,8,2,01000100,0.7,0.1
2024-05-20,8,2,10001001,0.8,0.4
2024-05-20,8,2,00010011,0.9,0.7
2024-05-20,8,2,00100110,0.0,0.0
2024-05-20,8,2,01001100,0.1,0.3
2024-05-20,8,2,10011000,0.2,0.6
2024-05-20,8,2,00110001,0.3,0.9
2024-05-20,8,2,01100010,0.4,0.2
2024-05-20,8,2,11000101,0.5,0.5
2024-05-20,8,2,10001010,0.6,0.8
2024-05-20,8,2,00010101,0.7,0.1
2024-05-20,8,2,00101010,0.8,0.4
2024-05-20,8,2,01010100,0.9,0.7
2024-05-20,8,2,10101000,0.0,0.0
2024-05-20,8,2,01010001,0.1,0.3
2024-05-20,8,2,10100010,0.2,0.6
2024-05-20,8,2,01000101,0.3,0.9
2024-05-20,8,2,10001011,0.4,0.2
2024-05-20,8,2,00010111,0.5,0.5
2024-05-20,8,2,00101110,0.6,0.8
2024-05-20,8,2,01011100,0.7,0.1
2024-05-20,8,2,10111000,0.8,0.4
2024-05-20,8,2,01110001,0.9,0.7
2024-05-20,8,2,11100011,0.0,0.0
2024-05-20,8,2,11000110,0.1,0.3
2024-05-20,8,2,10001100,0.2,0.6
2024-05-20,8,2,00011001,0.3,0.9
2024-05-20,8,2,00110010,0.4,0.2
2024-05-20,8,2,01100100,0.5,0.5
2024-05-20,8,2,11001000,0.6,0.8
2024-05-20,8,2,10010001,0.7,0.1
2024-05-20,8,2,00100011,0.8,0.4
2024-05-20,8,2,01000110,0.9,0.7
2024-05-20,8,2,10001101,0.0,0.0
2024-05-20,8,2,00011011,0.1,0.3
2024-05-20,8,2,00110110,0.2,0.6
2024-05-20,8,2,01101100,0.3,0.9
2024-05-20,8,2,11011000,0.4,0.2
2024-05-20,8,2,10110001,0.5,0.5
2024-05-20,8,2,01100011,0.6,0.8
2024-05-20,8,2,11000111,0.7,0.1
2024-05-20,8,2,10001110,0.8,0.4
2024-05-20,8,2,00011101,0.9,0.7
2024-05-20,8,2,00111010,0.0,0.0
2024-05-20,8,2,01110100,0.1,0.3
2024-05-20,8,2,11101000,0.2,0.6
2024-05-20,8,2,11010001,0.3,0.9
2024-05-20,8,2,10100011,0.4,0.2
2024-05-20,8,2,01000111,0.5,0.5
2024-05-20,8,2,10001111,0.6,0.8
2024-05-20,8,2,00011111,0.7,0.1
2024-05-20,8,2,00111110,0.8,0.4
2024-05-20,8,2,01111100,0.9,0.7
2024-05-20,8,2,11111001,0.0,0.0
2024-05-20,8,2,11110010,0.1,0.3
2024-05-20,8,2,11100100,0.2,0.6
2024-05-20,8,2,11001001,0.3,0.9
2024-05-20,8,2,10010010,0.4,0.2
2024-05-20,8,2,00100101,0.5,0.5
2024-05-20,8,2,01001010,0.6,0.8
2024-05-20,8,2,10010100,0.7,0.1
2024-05-20,8,2,00101001,0.8,0.4
2024-05-20,8,2,01010010,0.9,0.7
2024-05-20,8,2,10100100,0.0,0.0
2024-05-20,8,2,01001001,0.1,0.3
2024-05-20,8,2,10010011,0.2,0.6
2024-05-20,8,2,00100111,0.3,0.9
2024-05-20,8,2,01001110,0.4,0.2
2024-05-20,8,2,10011100,0.5,0.5
2024-05-20,8,2,00111001,0.6,0.8
2024-05-20,8,2,01110010,0.7,0.1
2024-05-20,8,2,11100101,0.8,0.4
2024-05-20,8,2,11001010,0.9,0.7
2024-05-20,8,2,10010101,0.0,0.0
2024-05-20,8,2,00101011,0.1,0.3
2024-05-20,8,2,01010110,0.2,0.6
2024-05-20,8,2,10101100,0.3,0.9
2024-05-20,8,2,01011001,0.4,0.2
2024-05-20,8,2,10110010,0.5,0.5
2024-05-20,8,2,01100101,0.6,0.8
2024-05-20,8,2,11001011,0.7,0.1
2024-05-20,8,2,10010110,0.8,0.4
2024-05-20,8,2,00101101,0.9,0.7
2024-05-20,8,2,01011010,0.0,0.0
2024-05-20,8,2,10110100,0.1,0.3
2024-05-20,8,2,01101001,0.2,0.6
2024-05-20,8,2,11010010,0.3,0.9
2024-05-20,8,2,10100101,0.4,0.2
2024-05-20,8,2,01001011,0.5,0.5
2024-05-20,8,2,10010111,0.6,0.8
2024-05-20,8,2,00101111,0.7,0.1
2024-05-20,8,2,01011110,0.8,0.4
2024-05-20,8,2,10111100,0.9,0.7
2024-05-20,8,2,01111001,0.0,0.0
2024-05-20,8,2,11110011,0.1,0.3
2024-05-20,8,2,11100110,0.2,0.6
2024-05-20,8,2,11001100,0.3,0.9
2024-05-20,8,2,10011001,0.4,0.2
2024-05-20,8,2,00110011,0.5,0.5
2024-05-20,8,2,01100110,0.6,0.8
2024-05-20,8,2,11001101,0.7,0.1
2024-05-20,8,2,10011010,0.8,0.4
2024-05-20,8,2,00110101,0.9,0.7
2024-05-20,8,2,01101010,0.0,0.0
2024-05-20,8,2,11010100,0.1,0.3
2024-05-20,8,2,10101001,0.2,0.6
2024-05-20,8,2,01010011,0.3,0.9
2024-05-20,8,2,10100110,0.4,0.2
2024-05-20,8,2,01001101,0.5,0.5
2024-05-20,8,2,10011011,0.6,0.8
2024-05-20,8,2,00110111,0.7,0.1
2024-05-20,8,2,01101110,0.8,0.4
2024-05-20,8,2,11011100,0.9,0.7
2024-05-20,8,2,10111001,0.0,0.0
2024-05-20,8,2,01110011,0.1,0.3
2024-05-20,8,2,11100111,0.2,0.6
2024-05-20,8,2,11001110,0.3,0.9
2024-05-20,8,2,10011101,0.4,0.2
2024-05-20,8,2,00111011,0.5,0.5
2024-05-20,8,2,01110110,0.6,0.8
